timestamp,case_id,user_query,bot_answer,confidence,intent,escalated
2026-04-23T12:31:05.307578,f7cd26dc-04dd-4a9c-9e5d-b8e9b514cfbb,what is this pdf about,[pending HITL answer],0.10,unknown,True
2026-04-23T12:33:55.292555,5897043d-04d9-4ae9-b9eb-b052dcd782cf,what is the name given here,[pending HITL answer],0.08,unknown,True
2026-04-23T13:41:57.526021,fe118a7d-76e9-4e75-aebe-0cef3cef9ca8,give the name in it,[pending HITL answer],0.17,unknown,True
2026-04-23T13:46:24.675159,dae8aed3-30c8-4619-9491-effbf53d65d9,what is the problem statement of this hackathon,None,0.30,unknown,True
2026-04-23T14:38:52.968416,c2c44f43-2414-410a-8545-8e280becc2c1,theme,"The theme of the PNB Cybersecurity Hackathon 2025-26 is ""Hackathon Cyber Security: Quantum-Proof Systems"".",0.00,general,False
2026-04-23T14:39:43.980162,c2c44f43-2414-410a-8545-8e280becc2c1,application,"It seems like you're referring to the context of the PNB Cybersecurity Hackathon 2025-26. In that case, the application you're likely referring to is related to the theme of ""Quantum-Proof Systems"" for public-facing banking applications.",0.21,general,False
2026-04-23T14:41:07.881377,c2c44f43-2414-410a-8545-8e280becc2c1,problem statement for this hackathon,"The problem statement for this PNB Cybersecurity Hackathon 2025-26 is to develop a software scanner to:

1. Validate the deployment of Quantum-proof cipher for public-facing applications (Web Server, API, System).
2. Create a cryptographic bill of material inventory for public-facing applications.

Specifically, the scanner should discover and inventory cryptographic controls like ciphers used, key exchange, used cipher suite, and TLS version used, and recommend the use of quantum-safe algorithms on public-facing applications.",0.16,general,False
2026-04-23T14:42:24.314064,c2c44f43-2414-410a-8545-8e280becc2c1,todays date,"Unfortunately, I don't have the information about the current date in the provided context. I'm a customer support assistant, and I can only answer based on the information given. If you need to know the current date, I recommend checking your device's clock or a reliable online source.",0.09,general,False
2026-04-23T16:57:04.919102,3392e57e-8f61-4c2d-9ff7-56da2e3ec8e7,what subscription plan does novatech offers,"We offer a Starter plan, which costs $9/month and includes 1 user, 10 GB storage, email support, a core analytics dashboard, and 5 active projects.",0.58,general,False
2026-04-23T16:57:41.327308,3392e57e-8f61-4c2d-9ff7-56da2e3ec8e7,i want a refund for abnnual subscription,"You're eligible for a refund since it's an annual renewal within 30 days. To request a refund, log in to your account, go to Account Settings > Billing > Request a Refund, select the charge, enter a brief reason, and submit. You'll receive a confirmation email within 2 business hours, and the refund will be processed to your original payment method within 5-10 business days.",0.40,refund,False
2026-04-23T16:58:56.653460,3392e57e-8f61-4c2d-9ff7-56da2e3ec8e7,what is your data deletion policy,"Our data deletion policy is as follows: after you cancel your subscription, your data is retained for 90 days, and then it's permanently deleted. You can also request deletion of your data at any time by emailing privacy@novatech.io.",0.38,policy,False
2026-04-23T17:08:11.624967,f86c7152-1cae-4c91-8ae6-5b1f85910a8e,what subscription plan does novatech offers,"We offer a Starter plan, which costs $9/month and includes 1 user, 10 GB storage, email support, a core analytics dashboard, and 5 active projects.",0.58,general,False
2026-04-23T17:08:32.041050,f86c7152-1cae-4c91-8ae6-5b1f85910a8e,i want a refund for annual subscriptions,"You're eligible for a refund if you request it within 30 days of your annual renewal. To request a refund, log in to your account, go to Account Settings > Billing > Request a Refund, select the charge, enter a brief reason, and submit. You'll receive a confirmation email within 2 business hours, and the refund will be processed to your original payment method within 5-10 business days.",0.40,refund,False
2026-04-23T17:40:06.679709,dcd139be-5f95-483b-a2f4-3fcae5842beb,what subscription plan does novatech offer,"We offer a single subscription plan called the Starter plan, which costs $9/month. This plan includes 1 user, 10 GB storage, email support, a core analytics dashboard, and 5 active projects.",0.58,general,False
2026-04-23T17:44:57.417065,dcd139be-5f95-483b-a2f4-3fcae5842beb,i want a refund for annual suscription,sorry,0.29,refund,True
2026-04-23T17:50:01.528603,31644a0f-3a77-432e-856e-b2671602fe9d,what subscription plan does novatech offers,"We offer a Starter plan, which costs $9/month and includes 1 user, 10 GB storage, email support, a core analytics dashboard, and 5 active projects.",0.58,general,False
2026-04-23T17:56:48.814680,4c51b3e6-4253-43df-a5bf-fb11635299a6,what subscription plan does novatech offers,"We offer a Starter plan, which costs $9/month and includes 1 user, 10 GB storage, email support, a core analytics dashboard, and 5 active projects.",0.58,general,False
2026-04-23T17:58:16.956235,4c51b3e6-4253-43df-a5bf-fb11635299a6,i want a refund for annual subscription,sorry,0.40,refund,True
2026-04-23T18:51:25.639021,9e6ca569-c3bf-4762-9737-5a161d604c0f,what subscription plan does it offers,"We offer three subscription plans: Starter, Pro, and Enterprise. The Starter plan is $9/month, the Pro plan is $29/month, and the Enterprise plan is $99/month. Each plan has its own set of features and benefits. Would you like me to explain the details of each plan?",0.38,general,False
2026-04-23T18:53:26.153955,9e6ca569-c3bf-4762-9737-5a161d604c0f,i want a refund for annual subscription,sorry,0.40,refund,True
